order_id,customer_id,order_date,product_category,quantity,revenue,discount,cost_of_goods,shipping_cost,delivery_region_cost,payment_processing_fee,order_status,refund_amount,net_revenue,gross_margin
26,5,27-07-2021,Electronics,3,1976.29,5.34,1103.7,88.43,17.96,48.96,Completed,0,1970.95,778.82
27,5,28-08-2021,Electronics,2,1374.89,143.54,957.04,111.13,32.99,37.95,Completed,0,1231.35,163.18
28,5,20-09-2021,Home,1,2532.8,78.52,1101.4,76.2,15.87,66.72,Completed,0,2454.28,1276.68
29,5,30-10-2021,Beauty,1,6066.67,55.21,2758.37,79.13,29.67,164.52,Completed,0,6011.46,3173.96
30,5,08-12-2021,Grocery,1,5291.58,118,3793.26,115.45,37.45,107.31,Completed,0,5173.58,1264.87
31,5,31-12-2021,Beauty,1,1056.16,113.11,546.57,147.96,45.88,29.03,Completed,0,943.05,248.52
32,5,04-01-2022,Home,4,3334.26,378.11,1481.78,78.97,29.03,71.73,Completed,0,2956.15,1395.4
33,5,25-01-2022,Beauty,1,1537.82,105.96,630.34,115.54,25.59,36.97,Returned,1431.86,0,-745.88
34,5,30-01-2022,Home,2,3859.06,272.45,2046.44,93.46,18.94,81.93,Completed,0,3586.61,1446.71
35,5,03-02-2022,Fashion,1,2788.5,30.39,1352.62,146.61,51.02,57.45,Completed,0,2758.11,1258.88
36,5,11-02-2022,Grocery,1,1550.85,117.4,1014.69,87.5,20.97,40.18,Completed,0,1433.45,331.26
37,5,16-02-2022,Beauty,4,8648.77,989.42,4278.62,121.24,47.64,255.88,Completed,0,7659.35,3259.49
38,5,27-02-2022,Grocery,1,6806.9,467.63,4143.53,126.29,43.23,137.87,Completed,0,6339.27,2069.45
39,6,20-01-2021,Beauty,1,1504.43,343.31,762.18,146.59,35.6,44.11,Cancelled,0,1161.12,252.35
40,6,10-02-2021,Electronics,2,1278.15,317.36,749.16,118.2,37.91,35.17,Completed,0,960.79,93.43
41,6,18-02-2021,Home,4,876.05,161.89,453.71,141.49,29.95,23.89,Completed,0,714.16,118.96
42,7,14-01-2021,Home,1,4092.98,476.01,2141.88,88.29,33.08,110.8,Completed,0,3616.97,1386.8
43,7,10-02-2021,Beauty,2,3093.35,381.41,1494.54,145.8,29.63,75.6,Completed,0,2711.94,1071.6
44,7,25-02-2021,Beauty,5,927.84,136.49,402.43,146.17,42.95,26.3,Completed,0,791.35,242.75
45,7,24-03-2021,Fashion,2,1074.59,185.8,457.61,143.68,49.33,29.05,Completed,0,888.79,287.5
46,7,28-05-2021,Fashion,1,2379.4,172.03,927.42,142.14,48.65,71.09,Returned,2207.37,0,-1069.56
47,7,22-06-2021,Electronics,1,1516.94,259.25,1049.61,102.95,38.61,35.75,Completed,0,1257.69,105.13
48,7,28-07-2021,Electronics,1,8350.78,615.45,5813.4,70.8,17.86,248.83,Completed,0,7735.33,1851.13
49,7,31-07-2021,Fashion,1,3691.82,406.1,1383.47,128.38,47.73,79.28,Returned,3285.72,0,-1511.85
50,7,30-08-2021,Home,3,2671.8,187.29,1429.21,149.51,50.62,58.69,Completed,0,2484.51,905.79
51,7,02-10-2021,Fashion,1,1289.66,83.83,575.13,76.76,19.48,30.83,Completed,0,1205.83,553.94
52,7,09-10-2021,Fashion,3,1422.35,129.58,655.24,90.89,21.69,37.37,Completed,0,1292.77,546.64
53,7,08-11-2021,Grocery,1,6660.03,720.62,4230.56,132.15,38.14,199.11,Cancelled,0,5939.41,1576.7
54,7,17-11-2021,Beauty,2,912.39,149.08,425.43,71.91,17.99,26.86,Completed,0,763.31,265.97
55,7,24-11-2021,Grocery,3,3270.45,524.58,2020.26,83.39,33.35,67.21,Completed,0,2745.87,642.22
56,7,01-12-2021,Electronics,1,1485.58,141.43,857.18,116.5,44.48,35.81,Completed,0,1344.15,370.47
57,7,04-01-2022,Home,1,3754.25,459.14,1691.64,100.18,31.73,88.33,Completed,0,3295.11,1503.29
58,7,31-01-2022,Home,1,1168.49,195.37,661.6,116.13,25.69,34.19,Completed,0,973.12,195.39
59,7,04-03-2022,Electronics,1,1509.86,218.33,1017.88,105.7,24.96,41.61,Completed,0,1291.53,167.95
60,7,16-04-2022,Electronics,3,1284.27,220.51,842.08,87.25,19.62,28.99,Completed,0,1063.76,134.43
61,7,28-04-2022,Fashion,1,6257.18,602.57,2737.28,148.32,38.48,131.56,Completed,0,5654.61,2769.01
62,7,09-05-2022,Electronics,2,1725.71,213.99,1150.66,95.84,37.09,49.66,Completed,0,1511.72,265.22
63,7,25-05-2022,Beauty,1,1013.34,141.66,388.02,148.35,55.64,24.55,Completed,0,871.68,335.31
64,7,29-05-2022,Fashion,1,3707.73,556.16,1546.84,70.12,16.85,83.69,Completed,0,3151.57,1534.61
65,7,11-07-2022,Electronics,1,3716.53,619.55,2242.88,148.23,49.26,107.89,Completed,0,3096.98,705.87
66,7,26-07-2022,Fashion,3,2471.09,225.12,980.27,82.28,19.4,52.61,Completed,0,2245.97,1183.42
67,7,15-08-2022,Beauty,1,1540.35,176.83,728.99,131.97,32.37,32.72,Completed,0,1363.52,502.56
68,7,15-12-2022,Beauty,1,1119.05,156.33,519.82,100.28,31.76,26.87,Completed,0,962.72,342.62
69,7,31-12-2022,Beauty,1,1040.86,102.84,540.96,127.97,41.91,27.7,Returned,938.02,0,-668.93
70,7,07-03-2023,Electronics,2,6949.34,1006.96,4851.4,127.81,45.79,203.36,Completed,0,5942.38,963.17
71,9,17-01-2021,Grocery,1,460.21,40.54,289.05,143.69,32.29,11.16,Completed,0,419.67,-13.07
72,9,31-01-2021,Beauty,4,297.89,37.89,136.16,139.38,44.39,6.91,Completed,0,260,-15.54
73,10,07-01-2021,Grocery,2,1131.82,238.59,727.56,61.17,21.92,30.71,Completed,0,893.23,104.5
74,10,10-01-2021,Beauty,1,1920.26,504.64,937.2,68.52,25.71,38.91,Completed,0,1415.62,409.9
75,10,27-01-2021,Grocery,2,2040.72,610.79,1405.8,78.64,18.7,59.27,Completed,0,1429.93,-54.51
76,10,27-02-2021,Beauty,2,1771.44,547.37,901.66,60.4,24.06,35.89,Completed,0,1224.07,262.01
77,10,02-03-2021,Grocery,1,2291.93,689.41,1649.92,105.92,26.02,45.98,Completed,0,1602.52,-153.32
78,10,28-03-2021,Beauty,5,1721.96,639.02,721.5,83.52,29.8,39.34,Completed,0,1082.94,277.92
79,10,09-04-2021,Grocery,1,1273.73,195.77,771.74,63.15,21.31,30.17,Returned,1077.96,0,-834.89
80,10,23-05-2021,Fashion,1,2267.17,626.19,1126.54,105.21,33.99,51.5,Completed,0,1640.98,409.23
81,10,12-06-2021,Electronics,1,1641.8,574.14,1026.29,76.11,19.11,34.18,Completed,0,1067.66,-34.74
82,10,07-07-2021,Grocery,2,2503.32,913.71,1754.86,118.73,25.37,71.95,Returned,1589.61,0,-1873.59
83,10,12-07-2021,Beauty,3,3962.19,1438.27,1934.06,90.05,31.58,81.76,Returned,2523.92,0,-2024.11
84,10,18-07-2021,Fashion,3,14869.84,2011.89,5563.84,96.61,26.8,441.26,Completed,0,12857.95,7197.5
85,10,11-08-2021,Electronics,2,1486.5,525.92,1016.34,102.64,28.42,42.76,Completed,0,960.58,-158.4
86,10,14-08-2021,Grocery,1,15452.43,3478.34,10414.8,66.59,22.5,452.55,Completed,0,11974.09,1492.7
87,10,17-08-2021,Grocery,1,3534.28,549.23,2191.87,96.23,30.64,83.9,Completed,0,2985.05,696.95
88,10,29-08-2021,Grocery,4,983.09,217.36,625.39,84.81,30.4,22.21,Completed,0,765.73,55.53
89,10,12-10-2021,Fashion,4,690.77,194.94,343.61,120.67,46.09,14.2,Completed,0,495.83,31.55
90,10,26-10-2021,Grocery,4,752.57,258.58,526.84,109.76,26.91,21.49,Completed,0,493.99,-142.61
91,10,10-11-2021,Electronics,1,1962.39,254.33,1159.59,125.11,25.21,56.07,Completed,0,1708.06,423.36
92,10,13-11-2021,Fashion,1,1190.92,222.94,448.54,126.52,50.4,26.97,Returned,967.98,0,-575.06
93,10,01-12-2021,Electronics,2,4705.45,1540.56,2769.54,122.54,28.08,105.67,Completed,0,3164.89,272.81
94,10,04-12-2021,Electronics,1,2198.63,824.05,1510.91,89.54,18.86,65.46,Completed,0,1374.58,-225.87
95,12,04-01-2021,Grocery,1,744.73,15.49,448.16,117.7,42.37,16.72,Completed,0,729.24,163.38
96,12,05-03-2021,Grocery,1,912.63,14.51,622.58,103.52,33.78,18.28,Completed,0,898.12,172.02
97,13,31-01-2021,Beauty,1,746.64,71.75,382.12,181.49,52.62,17.76,Completed,0,674.89,111.28
98,13,12-02-2021,Beauty,3,733.61,0.88,302.79,96.73,24.41,19.74,Completed,0,732.73,333.21
99,13,13-03-2021,Fashion,1,494.3,14.93,235.72,122.68,36.39,11.35,Completed,0,479.37,120.97
100,13,17-04-2021,Electronics,1,959.34,14.39,656.18,119.45,35.94,20.58,Completed,0,944.95,169.32
101,14,13-01-2021,Home,1,1183.13,445.92,670.19,141.19,37.73,28,Completed,0,737.21,-74.17
102,14,25-01-2021,Beauty,2,359.81,108.12,152.78,113.01,34.98,9.34,Completed,0,251.69,-14.1
103,16,13-01-2021,Home,1,668.7,46.07,288.59,123.65,37.78,17.02,Completed,0,622.63,210.39
104,16,29-01-2021,Fashion,4,539.46,33.82,220.24,197.07,54.36,13.56,Completed,0,505.64,88.33
105,16,08-02-2021,Electronics,1,564.12,90.54,354.81,103.15,24.35,11.84,Completed,0,473.58,15.62
106,17,28-01-2021,Fashion,3,431.84,85.29,171.16,78.97,30.21,8.95,Completed,0,346.55,96.42
107,17,31-01-2021,Fashion,2,4703.71,958.15,1724.92,74.2,15.48,122.95,Completed,0,3745.56,1946.44
108,17,12-02-2021,Fashion,1,1982.88,441.79,811.22,85.12,24.97,52.86,Completed,0,1541.09,644.75
109,17,03-03-2021,Grocery,1,1194.07,121.44,720.28,88.65,31.45,25.41,Completed,0,1072.63,263.7
110,17,20-03-2021,Electronics,1,2751.59,495.84,1735.11,112.15,22.59,80.61,Completed,0,2255.75,408.49
111,17,10-04-2021,Home,2,12736.01,1709.17,6738.71,93.53,18.8,340.37,Completed,0,11026.84,4194.6
112,17,24-04-2021,Fashion,3,1918.39,372.94,756.3,101.61,30.93,54.13,Completed,0,1545.45,687.54
113,17,28-04-2021,Electronics,1,1699.79,217.91,962.75,80.04,25.09,46.27,Completed,0,1481.88,439.09
114,17,15-06-2021,Beauty,1,2541.71,391.93,1091.07,61.34,22.79,73.55,Completed,0,2149.78,997.37
115,17,29-06-2021,Beauty,2,3595.63,313.9,1793.61,95.19,31.52,86.11,Completed,0,3281.73,1392.93
116,17,08-07-2021,Beauty,3,1001.2,247,429.82,117.53,34.81,28,Returned,754.2,0,-547.35
117,17,20-07-2021,Home,3,1551.02,132.3,762.21,65.19,14.76,35.07,Completed,0,1418.72,591.32
118,17,03-08-2021,Home,1,3266.9,553.41,1649.04,84.26,27.02,91.86,Completed,0,2713.49,980.19
119,17,09-08-2021,Beauty,1,1960.8,470,898.97,68.4,24.94,45.14,Completed,0,1490.8,523.43
120,17,23-08-2021,Fashion,3,589.65,47.64,206.47,74.8,18.37,12.28,Completed,0,542.01,260.74
121,17,11-09-2021,Fashion,5,3684.08,473.04,1832.09,117.76,25.22,83.02,Completed,0,3211.04,1261.19
122,17,16-09-2021,Electronics,1,4811.86,715.52,3309.1,72.19,15.24,98.36,Completed,0,4096.34,715.05
123,17,26-09-2021,Fashion,2,5187.64,909.91,2124.57,101.94,29.15,127.85,Completed,0,4277.73,2051.22
124,17,02-10-2021,Electronics,2,7198.85,1726.28,4952.67,100.89,22.64,175.37,Completed,0,5472.57,419.01
125,17,12-10-2021,Beauty,1,855.89,174.86,391.43,111.76,24.41,21.27,Completed,0,681.03,177.84
126,17,15-10-2021,Beauty,4,8793.83,1220.58,3714.1,85.65,17.6,202.27,Completed,0,7573.25,3773.5
127,19,20-01-2021,Fashion,1,1352.41,109.14,618.82,149.14,53.44,37.17,Completed,0,1243.27,475.31
128,19,04-02-2021,Electronics,2,268.73,46.22,181.2,108.92,25.87,5.42,Completed,0,222.51,-67.61
129,19,28-02-2021,Fashion,1,1483.52,277.12,550.9,180.7,42.28,36.84,Completed,0,1206.4,474.8
130,19,06-04-2021,Fashion,1,1298.62,127.26,541.33,186.89,48.2,37.27,Completed,0,1171.36,443.14
131,19,11-07-2021,Beauty,3,524.16,106.04,206.02,116.2,30.74,12.46,Completed,0,418.12,95.9
132,20,27-01-2021,Beauty,1,3390.36,525.17,1321.64,198.07,48.4,70,Completed,0,2865.19,1345.48
133,20,20-02-2021,Fashion,3,3199.98,391.36,1129.29,124.5,45.18,82.61,Completed,0,2808.62,1554.83
134,20,19-03-2021,Electronics,1,2210.79,222.63,1317.71,100.38,23.62,64.63,Completed,0,1988.16,570.07
135,20,03-04-2021,Grocery,1,2798.66,502.36,1994.28,129.17,34.74,57.75,Completed,0,2296.3,172.85
136,20,15-04-2021,Beauty,3,1743.61,110.37,741.86,196.91,77.31,41.56,Completed,0,1633.24,694.47
137,20,20-04-2021,Grocery,1,2766.36,338.88,1743.69,173.48,41.68,65.55,Completed,0,2427.48,510.31
138,20,25-04-2021,Electronics,1,4636.49,727,3231.22,195.67,52.87,137.81,Completed,0,3909.49,482.6
139,20,13-05-2021,Home,5,1120.14,161.97,575.99,105.59,31.05,25.52,Returned,958.17,0,-681.58
140,20,31-05-2021,Grocery,1,1188.26,97.2,753.81,92.54,19.44,35.22,Completed,0,1091.06,244.71
141,20,17-06-2021,Beauty,5,2532.49,378.61,1042.81,172.87,47.63,71.05,Completed,0,2153.88,938.2
142,20,02-08-2021,Fashion,1,2978.78,314.26,1268.32,192.66,45.15,74.35,Completed,0,2664.52,1203.54
143,20,10-08-2021,Home,2,6927.4,1135.4,3580.1,105.71,23.06,152.13,Completed,0,5792,2106.19
144,20,02-09-2021,Electronics,1,8298.06,1177.49,5455.89,193.3,59.83,179.26,Completed,0,7120.57,1471.38
145,20,11-12-2021,Home,2,12173.18,920.29,5379.83,177.79,44.7,351.06,Completed,0,11252.89,5695.27
146,20,31-12-2021,Beauty,1,2111.24,230.34,1095.79,95.52,32.97,45.3,Completed,0,1880.9,689.59
147,20,13-01-2022,Beauty,1,537.64,49.79,255.09,146.69,48.82,15.94,Completed,0,487.85,86.07
148,20,04-02-2022,Beauty,3,2265.48,261.66,1130.45,165.83,62.23,64.76,Completed,0,2003.82,707.54
149,20,22-02-2022,Fashion,1,2931.31,202.55,1452.16,171.99,65.29,78.99,Completed,0,2728.76,1104.61
150,21,20-01-2021,Beauty,1,321.84,94.59,153.53,141.79,52.54,7.65,Completed,0,227.25,-68.07
151,21,23-02-2021,Beauty,4,532.73,198.66,246.56,106,22.87,14.22,Completed,0,334.07,-18.49
152,21,17-04-2021,Fashion,1,934.08,243.98,361.13,70.34,19.39,22.64,Completed,0,690.1,258.63
153,21,30-04-2021,Electronics,2,722.22,100.46,409.33,70.98,18.27,19.92,Completed,0,621.76,141.45
154,21,10-05-2021,Electronics,2,251.81,74.64,149.24,143.98,39.46,7.19,Completed,0,177.17,-116.05
155,22,16-01-2021,Home,1,1397.04,251.47,755.6,97.93,29.69,36.22,Completed,0,1145.57,292.04
156,23,09-01-2021,Beauty,1,1665.33,501.26,788.18,89.2,18.14,49.81,Completed,0,1164.07,286.69
157,23,07-02-2021,Grocery,1,667.83,120.21,451.73,98.23,38.31,19.04,Returned,547.62,0,-549.96
158,24,07-01-2021,Fashion,2,470.49,101.16,214.27,125.19,31.03,13.08,Completed,0,369.33,29.87
159,24,04-06-2021,Home,1,1719.55,277.02,775.43,67.71,13.73,37.35,Completed,0,1442.53,599.39
160,24,21-06-2021,Electronics,1,831.66,132.98,478.29,88.23,33.04,21.09,Completed,0,698.68,132.16
161,24,03-08-2021,Beauty,1,427.67,137.15,188.27,72.76,21.37,8.65,Completed,0,290.52,29.49
162,24,28-08-2021,Electronics,2,227.96,72.56,149.54,81.42,26.38,4.91,Returned,155.4,0,-230.96
163,25,17-01-2021,Grocery,1,348.23,65.92,222.17,82.66,26.14,8.3,Completed,0,282.31,-22.52
164,25,31-01-2021,Grocery,1,2503.66,398.33,1741.53,114.9,24.12,63.82,Completed,0,2105.33,248.9
165,25,09-02-2021,Electronics,1,1414.96,282.57,930.22,94.18,24.63,32.07,Completed,0,1132.39,107.99
166,25,17-02-2021,Grocery,1,1274.5,304.61,827.2,93.24,36.1,25.72,Completed,0,969.89,49.45
167,25,04-03-2021,Beauty,1,4562.08,944.81,2251.65,99.21,21.72,121.58,Completed,0,3617.27,1266.41
168,25,18-03-2021,Beauty,2,1655.51,333.09,678.42,106.05,29.27,35.94,Completed,0,1322.42,537.95
169,25,25-03-2021,Beauty,1,2029.13,402.38,960.58,79.34,19.05,51.31,Completed,0,1626.75,586.83
170,25,01-05-2021,Grocery,1,2265.93,296.61,1567.7,100.75,20.54,52.59,Completed,0,1969.32,300.87
171,25,17-05-2021,Electronics,1,7065.69,1126.98,4914.28,67.19,15.58,187.08,Completed,0,5938.71,957.24
172,25,07-06-2021,Home,1,2330.18,448.79,1208.07,126.44,41.04,58.53,Completed,0,1881.39,546.88
173,25,02-08-2021,Beauty,1,1373.4,338.41,542.17,68.72,18.29,32.83,Completed,0,1034.99,424.1
174,25,12-08-2021,Home,1,1214.63,247.3,632.59,89.59,24.95,30.27,Completed,0,967.33,245.15
175,25,09-09-2021,Electronics,1,6143.97,922.21,3854.22,79.99,25.3,137.81,Completed,0,5221.76,1287.55
176,25,13-10-2021,Home,1,337.28,79.94,158.4,124.78,30.8,9.44,Completed,0,257.34,-25.84
177,25,18-10-2021,Electronics,1,1439.84,192.65,908.28,100.36,24.85,35.62,Completed,0,1247.19,238.55
178,25,01-11-2021,Fashion,3,3501.93,435.64,1548.75,125.36,45.95,97.73,Completed,0,3066.29,1392.18
179,25,15-11-2021,Beauty,1,792.59,180.95,315.33,84.06,28.76,23.35,Completed,0,611.64,212.25
180,25,19-11-2021,Electronics,1,5243.55,584.66,3323.82,85.68,25.57,117.43,Returned,4658.89,0,-3409.5
181,25,28-11-2021,Fashion,1,894.87,177.81,361.03,123.02,32.62,24.7,Completed,0,717.06,233.01
182,25,14-12-2021,Beauty,3,4233.45,631.63,1672.92,113.27,25.06,114.35,Cancelled,0,3601.82,1815.63
183,25,20-12-2021,Grocery,2,1639.75,166.27,1124.95,109.65,29.1,46.39,Completed,0,1473.48,238.88
184,25,05-01-2022,Home,1,769.45,97.03,336.19,128.56,42,17.34,Completed,0,672.42,207.67
185,25,26-01-2022,Beauty,1,5872.79,1099.39,2620.56,119.01,45.17,157.12,Completed,0,4773.4,2033.83
186,25,08-02-2022,Fashion,3,2244,180.64,787.44,65.22,25.8,45.72,Completed,0,2063.36,1210.7
187,25,25-03-2022,Fashion,1,506.34,67.6,203.84,123,29.84,12.7,Completed,0,438.74,111.9
188,25,21-04-2022,Electronics,2,1421.99,219.27,827.29,107.27,24.35,29.28,Completed,0,1202.72,268.16
189,25,01-05-2022,Beauty,3,2227.57,520.14,981.6,115.53,26.35,59.12,Completed,0,1707.43,610.3
190,25,04-05-2022,Fashion,3,3976.88,641.47,1416.14,120.4,26.41,115.71,Completed,0,3335.41,1798.87
191,25,26-05-2022,Beauty,1,1121.06,92.71,506.63,102.91,29.75,29.32,Completed,0,1028.35,418.81
192,25,28-06-2022,Fashion,2,2930.19,728.45,1351.33,60.12,13.22,83.96,Completed,0,2201.74,790.29
193,25,17-08-2022,Fashion,5,2682.94,359.78,1007.16,77.69,17.93,68.91,Completed,0,2323.16,1238.31
194,25,28-08-2022,Home,4,2951.97,276.6,1357.87,90.47,19.41,67.91,Completed,0,2675.37,1227.03
195,25,07-09-2022,Electronics,3,2872.34,656.9,1668.7,122.25,39.87,57.84,Completed,0,2215.44,424.49
196,26,24-01-2021,Home,5,470.22,38.51,268.21,91.37,27.01,11.24,Completed,0,431.71,72.13
197,26,09-02-2021,Fashion,1,880.57,107.17,324.56,110.75,31.67,19.96,Completed,0,773.4,338.09
198,26,05-03-2021,Home,1,487.56,79.57,210.82,89.83,20.67,10.12,Returned,407.99,0,-300.65
199,28,14-01-2021,Beauty,1,711.99,75.26,297.57,106.2,38.34,20.13,Completed,0,636.73,232.96
200,28,16-04-2021,Beauty,3,950.44,61.11,392,87.38,26.75,20.72,Completed,0,889.33,409.95
201,28,27-06-2021,Home,1,369.17,58.03,161.2,98.83,24.67,9.18,Returned,311.14,0,-260.03
202,28,06-07-2021,Grocery,2,1468.74,86.51,930.09,137.81,45.93,37.05,Completed,0,1382.23,314.33
203,28,16-07-2021,Fashion,1,1012.27,156.9,464.57,101.97,21.92,23.34,Completed,0,855.37,288.83
204,28,10-09-2021,Fashion,1,1474.68,194.51,576.58,76.94,22.89,34.87,Completed,0,1280.17,626.65
205,28,07-10-2021,Home,2,715.07,46.19,411.03,127.36,28.13,19.05,Returned,668.88,0,-538.39
206,29,01-02-2021,Home,2,1134.25,98.34,642.22,83.98,26.66,26.02,Completed,0,1035.91,309.71
207,29,15-02-2021,Fashion,2,414.63,39.27,150.99,123.28,38.56,10.84,Completed,0,375.36,101.09
208,29,17-03-2021,Grocery,1,165.79,12.05,103.22,114.96,25.59,4.53,Completed,0,153.74,-64.44
209,29,05-04-2021,Fashion,4,1549.24,30.21,629.06,110.43,36.23,40.24,Completed,0,1519.03,779.54
210,29,17-04-2021,Grocery,3,1205.61,27.13,799.51,79.5,29.06,35.69,Returned,1178.48,0,-879.01
211,29,22-07-2021,Grocery,3,805.18,12.4,531.08,125.74,27.72,17.88,Completed,0,792.78,135.96
212,30,10-02-2021,Electronics,5,1792.98,630.41,1032.56,138.01,28.95,51.07,Returned,1162.57,0,-1170.57
213,30,19-02-2021,Grocery,2,394.36,100.05,238.6,139.56,48.02,9.44,Completed,0,294.31,-83.85
214,30,07-03-2021,Electronics,1,1296.23,349.07,801.81,87.09,25.51,27.2,Completed,0,947.16,58.26
215,31,09-01-2021,Electronics,2,282.7,58.72,197.73,104.24,35.16,7.05,Completed,0,223.98,-77.99
216,32,22-01-2021,Beauty,4,158.54,14.7,74.71,131.09,45.96,4.56,Completed,0,143.84,-61.96
217,32,11-07-2021,Electronics,5,754.09,180.98,499.15,98.15,38.39,21.06,Completed,0,573.11,-24.19
218,32,21-08-2021,Beauty,1,1326.41,251.35,689.35,105.8,34.85,35.95,Completed,0,1075.06,279.91
219,32,18-09-2021,Fashion,1,821.97,88.44,336.65,112.51,38.74,23.08,Completed,0,733.53,284.37
220,32,27-09-2021,Fashion,2,608.01,138.57,252.38,124.28,30.86,16.62,Completed,0,469.44,92.78
221,34,11-02-2021,Home,1,1643.37,125.06,937.23,126.85,32.92,34.38,Completed,0,1518.31,454.23
222,34,20-02-2021,Electronics,1,307.19,1.72,189.19,111.54,34.71,8.38,Completed,0,305.47,4.74
223,34,25-03-2021,Home,1,483.23,50.45,256.35,62.92,20.38,10.2,Completed,0,432.78,113.51
224,35,01-02-2021,Beauty,2,1555.55,591.11,628.02,158.52,49.17,39.04,Completed,0,964.44,177.9
225,35,18-02-2021,Fashion,1,895.51,192.89,315.25,170.44,53.55,19.34,Cancelled,0,702.62,216.93
226,35,27-02-2021,Home,1,4839.98,589.99,2685.48,167.57,44.65,105.39,Completed,0,4249.99,1396.94
227,35,07-03-2021,Electronics,1,1598,569.85,1080.67,154.76,58.24,42.12,Completed,0,1028.15,-207.28
228,35,24-04-2021,Home,1,2197.2,695.63,923.2,180.4,55.29,51.32,Completed,0,1501.57,397.97
229,35,11-05-2021,Fashion,2,5923.53,1675.77,2463.74,160.02,52.6,160.29,Completed,0,4247.76,1624
230,35,29-05-2021,Fashion,2,5948.77,1020.81,2950.95,109.4,40.34,129.17,Completed,0,4927.96,1867.61
231,35,10-07-2021,Electronics,2,3616.83,599.31,2204.68,148.31,48.81,74.26,Completed,0,3017.52,664.53
232,35,25-08-2021,Beauty,2,1803.09,470.79,732.49,176.96,50.09,39.17,Completed,0,1332.3,422.85
233,35,30-09-2021,Beauty,1,2837.64,859.52,1127.94,197.99,68.84,78.96,Completed,0,1978.12,652.19
234,35,07-11-2021,Grocery,3,1355.55,226.65,973.31,176.69,39.69,29.53,Returned,1128.9,0,-1150
235,35,10-11-2021,Grocery,5,1892.78,356.6,1190.41,129.22,49.24,46.72,Completed,0,1536.18,216.55
236,35,15-12-2021,Fashion,1,2550.56,696.3,1224.21,171.71,39.17,73.07,Completed,0,1854.26,458.34
237,35,11-01-2022,Electronics,1,389.37,105.32,239.24,178.51,37.89,8.26,Returned,284.05,0,-417.75
238,35,28-01-2022,Electronics,1,1234.91,381.59,841.25,180.03,46.19,25.11,Completed,0,853.32,-167.96
239,35,22-02-2022,Beauty,1,2100.39,410.21,1052.19,127.88,36.3,56.94,Completed,0,1690.18,510.11
