customer_id,signup_date,acquisition_channel,acquisition_month,acquisition_campaign_id,region,device_type,first_order_date,customer_status,date_of_birth,gender
18,2021-01-17,Paid Ads,Jan-21,CAMP_00001,East,Web,,Active,1961-07-01,F
19,2021-01-17,Influencer,Jan-21,CAMP_00004,Tier2,Web,2021-01-20,Inactive,1989-01-01,F
20,2021-01-04,Referral,Jan-21,CAMP_00003,Tier2,Mobile,2021-01-27,Inactive,1989-12-14,M
21,2021-01-16,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-01-20,Active,1984-08-06,M
22,2021-01-10,Paid Ads,Jan-21,CAMP_00001,North,Mobile,2021-01-16,Inactive,1988-09-06,F
23,2021-01-06,Paid Ads,Jan-21,CAMP_00001,North,Mobile,2021-01-09,Inactive,1992-05-22,F
24,2021-01-01,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-07,Inactive,1996-11-23,M
25,2021-01-15,Influencer,Jan-21,CAMP_00004,East,Mobile,2021-01-17,Inactive,1975-07-10,M
26,2021-01-19,Referral,Jan-21,CAMP_00003,South,Mobile,2021-01-24,Inactive,1992-03-11,F
27,2021-01-14,Referral,Jan-21,CAMP_00003,North,Web,,Active,1995-08-05,Other
28,2021-01-07,Referral,Jan-21,CAMP_00003,West,Mobile,2021-01-14,Inactive,1991-11-04,M
29,2021-01-28,Organic,Jan-21,CAMP_00002,South,Mobile,2021-02-01,Inactive,1996-06-22,F
30,2021-01-24,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-02-10,Inactive,1980-02-19,M
31,2021-01-08,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-09,Inactive,1979-01-16,F
32,2021-01-05,Influencer,Jan-21,CAMP_00004,West,Web,2021-01-22,Inactive,1978-01-18,M
33,2021-01-11,Paid Ads,Jan-21,CAMP_00001,North,Mobile,,Inactive,1991-03-24,M
34,2021-01-30,Organic,Jan-21,CAMP_00002,East,Web,2021-02-11,Inactive,1993-07-26,F
35,2021-01-23,Paid Ads,Jan-21,CAMP_00001,Tier2,Mobile,2021-02-01,Inactive,1992-04-18,F
36,2021-01-21,Influencer,Jan-21,CAMP_00004,South,Mobile,,Inactive,1996-12-23,M
37,2021-01-13,Paid Ads,Jan-21,CAMP_00001,South,Web,2021-01-18,Inactive,1987-10-21,F
38,2021-01-04,Paid Ads,Jan-21,CAMP_00001,North,Web,2021-01-07,Inactive,1978-06-26,M
39,2021-01-17,Organic,Jan-21,CAMP_00002,West,Web,2021-01-20,Inactive,1996-08-27,F
40,2021-01-26,Influencer,Jan-21,CAMP_00004,East,Mobile,2021-02-14,Inactive,1983-02-01,M
41,2021-01-07,Influencer,Jan-21,CAMP_00004,North,Mobile,2021-01-10,Inactive,1974-08-18,F
42,2021-01-31,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-02-02,Active,1990-01-15,Other
43,2021-01-23,Organic,Jan-21,CAMP_00002,East,Mobile,2021-01-30,Inactive,1980-04-10,M
44,2021-01-29,Paid Ads,Jan-21,CAMP_00001,East,Web,,Inactive,1969-07-16,M
45,2021-01-01,Influencer,Jan-21,CAMP_00004,North,Web,2021-01-16,Inactive,1986-10-04,M
46,2021-01-23,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-24,Inactive,1971-07-25,F
47,2021-01-10,Referral,Jan-21,CAMP_00003,West,Mobile,,Inactive,1998-11-11,F
48,2021-01-10,Organic,Jan-21,CAMP_00002,East,Mobile,2021-01-15,Active,1992-06-12,F
49,2021-01-02,Organic,Jan-21,CAMP_00002,South,Web,2021-01-13,Inactive,1996-11-25,F
50,2021-01-10,Influencer,Jan-21,CAMP_00004,Tier2,Web,2021-01-20,Inactive,1983-07-23,F
51,2021-01-11,Paid Ads,Jan-21,CAMP_00001,Tier2,Web,2021-01-12,Inactive,1986-08-06,M
52,2021-01-16,Paid Ads,Jan-21,CAMP_00001,South,Web,2021-01-24,Inactive,1986-07-07,F
53,2021-01-06,Organic,Jan-21,CAMP_00002,Tier2,Mobile,2021-01-08,Inactive,1981-10-16,F
54,2021-01-15,Organic,Jan-21,CAMP_00002,North,Mobile,2021-02-01,Inactive,1982-12-17,F
55,2021-01-24,Paid Ads,Jan-21,CAMP_00001,North,Mobile,2021-02-02,Inactive,1994-04-11,F
56,2021-01-14,Influencer,Jan-21,CAMP_00004,North,Mobile,2021-02-04,Active,1998-08-11,F
57,2021-01-11,Organic,Jan-21,CAMP_00002,South,Mobile,2021-01-18,Inactive,1996-07-17,F
58,2021-01-10,Organic,Jan-21,CAMP_00002,West,Mobile,,Inactive,1982-02-01,M
59,2021-01-26,Paid Ads,Jan-21,CAMP_00001,North,Mobile,,Inactive,1987-06-18,M
60,2021-01-17,Paid Ads,Jan-21,CAMP_00001,West,Web,2021-02-06,Inactive,1977-03-18,Other
61,2021-01-19,Organic,Jan-21,CAMP_00002,North,Mobile,2021-01-27,Inactive,1996-04-03,F
62,2021-01-10,Paid Ads,Jan-21,CAMP_00001,North,Web,2021-01-20,Active,1975-08-17,F
63,2021-01-17,Organic,Jan-21,CAMP_00002,South,Mobile,2021-01-28,Active,1989-11-06,F
64,2021-01-03,Organic,Jan-21,CAMP_00002,North,Mobile,,Active,1997-09-15,F
65,2021-01-27,Organic,Jan-21,CAMP_00002,West,Mobile,,Active,1990-08-26,F
66,2021-01-04,Referral,Jan-21,CAMP_00003,Tier2,Web,2021-01-11,Active,1981-10-03,Other
67,2021-01-23,Paid Ads,Jan-21,CAMP_00001,Tier2,Mobile,2021-01-30,Inactive,1980-12-11,F
68,2021-01-11,Organic,Jan-21,CAMP_00002,North,Web,2021-01-12,Inactive,1979-09-06,M
69,2021-01-13,Organic,Jan-21,CAMP_00002,Tier2,Web,2021-01-20,Inactive,1974-04-22,F
70,2021-01-07,Referral,Jan-21,CAMP_00003,East,Mobile,2021-01-19,Inactive,1980-05-16,F
71,2021-01-19,Organic,Jan-21,CAMP_00002,North,Mobile,2021-01-27,Inactive,1986-10-24,F
72,2021-01-10,Influencer,Jan-21,CAMP_00004,Tier2,Web,2021-01-20,Inactive,1990-06-01,F
73,2021-01-29,Organic,Jan-21,CAMP_00002,East,Mobile,2021-02-01,Inactive,1996-10-10,F
74,2021-01-24,Organic,Jan-21,CAMP_00002,West,Mobile,2021-01-26,Inactive,1996-07-11,M
75,2021-01-02,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-07,Inactive,1990-09-19,M
76,2021-01-24,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-31,Inactive,1979-12-29,F
77,2021-01-04,Referral,Jan-21,CAMP_00003,West,Mobile,2021-01-11,Inactive,1998-09-27,F
78,2021-01-02,Influencer,Jan-21,CAMP_00004,North,Mobile,2021-01-06,Inactive,1961-05-09,M
79,2021-01-05,Organic,Jan-21,CAMP_00002,North,Web,2021-01-22,Inactive,1995-06-04,M
80,2021-01-16,Influencer,Jan-21,CAMP_00004,South,Mobile,,Inactive,1981-05-10,F
81,2021-01-27,Referral,Jan-21,CAMP_00003,South,Web,2021-01-28,Inactive,1980-05-21,M
82,2021-01-27,Referral,Jan-21,CAMP_00003,North,Mobile,2021-01-31,Active,1982-01-05,F
83,2021-01-19,Organic,Jan-21,CAMP_00002,East,Mobile,2021-01-23,Inactive,1993-08-29,M
84,2021-01-01,Influencer,Jan-21,CAMP_00004,South,Mobile,2021-01-07,Inactive,1990-03-23,F
85,2021-01-18,Influencer,Jan-21,CAMP_00004,South,Web,2021-01-22,Inactive,1974-11-04,F
86,2021-01-31,Influencer,Jan-21,CAMP_00004,East,Mobile,2021-02-05,Active,1979-03-12,M
87,2021-01-18,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-23,Inactive,1994-09-16,F
88,2021-01-07,Referral,Jan-21,CAMP_00003,South,Mobile,2021-01-11,Inactive,1982-05-02,Other
89,2021-01-07,Influencer,Jan-21,CAMP_00004,East,Web,2021-01-09,Inactive,1992-07-13,M
90,2021-01-30,Paid Ads,Jan-21,CAMP_00001,North,Web,2021-02-01,Inactive,1973-03-18,M
91,2021-01-29,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-02-08,Inactive,1987-04-11,M
92,2021-01-05,Paid Ads,Jan-21,CAMP_00001,North,Web,,Inactive,1973-06-23,F
93,2021-01-05,Paid Ads,Jan-21,CAMP_00001,North,Mobile,2021-01-15,Inactive,1980-05-22,F
94,2021-01-10,Referral,Jan-21,CAMP_00003,East,Web,2021-01-22,Active,1974-09-27,M
95,2021-01-22,Organic,Jan-21,CAMP_00002,Tier2,Mobile,2021-02-11,Inactive,1972-06-05,F
96,2021-01-16,Referral,Jan-21,CAMP_00003,Tier2,Mobile,2021-01-20,Inactive,1980-05-27,M
97,2021-01-14,Paid Ads,Jan-21,CAMP_00001,Tier2,Mobile,2021-01-16,Inactive,1988-11-10,M
98,2021-01-03,Organic,Jan-21,CAMP_00002,West,Mobile,2021-01-06,Active,1977-11-24,F
99,2021-01-22,Influencer,Jan-21,CAMP_00004,West,Mobile,,Inactive,1990-11-22,M
100,2021-01-04,Referral,Jan-21,CAMP_00003,Tier2,Mobile,2021-01-05,Inactive,1989-11-03,F
101,2021-01-30,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-01-31,Inactive,1990-07-27,F
102,2021-01-06,Paid Ads,Jan-21,CAMP_00001,East,Web,2021-01-26,Inactive,1990-11-15,F
103,2021-01-08,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-01-13,Active,1996-10-30,M
104,2021-01-12,Referral,Jan-21,CAMP_00003,West,Web,2021-01-15,Inactive,1976-12-23,M
105,2021-01-16,Organic,Jan-21,CAMP_00002,East,Mobile,2021-02-11,Active,1993-01-16,F
106,2021-01-11,Referral,Jan-21,CAMP_00003,East,Web,2021-02-10,Inactive,1987-09-24,F
107,2021-01-18,Paid Ads,Jan-21,CAMP_00001,Tier2,Mobile,2021-01-24,Inactive,1978-06-29,F
108,2021-01-27,Paid Ads,Jan-21,CAMP_00001,West,Web,2021-02-01,Inactive,1983-11-03,F
109,2021-01-09,Influencer,Jan-21,CAMP_00004,East,Mobile,2021-01-13,Inactive,1986-08-22,M
110,2021-01-21,Influencer,Jan-21,CAMP_00004,North,Web,,Inactive,1988-02-13,M
111,2021-01-04,Organic,Jan-21,CAMP_00002,East,Web,2021-01-20,Active,1968-07-04,M
112,2021-01-17,Paid Ads,Jan-21,CAMP_00001,South,Mobile,,Inactive,1977-07-12,M
113,2021-01-28,Organic,Jan-21,CAMP_00002,North,Mobile,2021-02-17,Inactive,1982-06-29,F
114,2021-01-28,Organic,Jan-21,CAMP_00002,Tier2,Mobile,2021-02-03,Inactive,1978-07-07,F
115,2021-01-02,Organic,Jan-21,CAMP_00002,Tier2,Web,2021-01-31,Inactive,1986-10-15,M
116,2021-01-18,Referral,Jan-21,CAMP_00003,West,Mobile,2021-01-25,Active,1994-12-03,M
117,2021-01-26,Influencer,Jan-21,CAMP_00004,East,Web,2021-02-02,Inactive,1988-03-14,M
118,2021-01-09,Paid Ads,Jan-21,CAMP_00001,East,Web,2021-01-22,Inactive,1975-03-13,M
119,2021-01-19,Organic,Jan-21,CAMP_00002,South,Mobile,,Inactive,1991-04-22,M
120,2021-01-27,Influencer,Jan-21,CAMP_00004,West,Mobile,2021-02-01,Inactive,1992-08-06,M
121,2021-01-04,Referral,Jan-21,CAMP_00003,West,Web,2021-01-08,Inactive,1986-09-08,F
122,2021-01-26,Influencer,Jan-21,CAMP_00004,West,Web,2021-01-30,Inactive,1976-06-13,M
123,2021-01-23,Influencer,Jan-21,CAMP_00004,Tier2,Web,2021-01-29,Inactive,1982-04-25,F
124,2021-01-14,Organic,Jan-21,CAMP_00002,East,Mobile,2021-01-26,Inactive,1981-08-21,M
125,2021-01-11,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-26,Inactive,1970-05-09,M
126,2021-01-01,Referral,Jan-21,CAMP_00003,Tier2,Mobile,2021-01-03,Inactive,1992-03-29,F
127,2021-01-31,Referral,Jan-21,CAMP_00003,West,Web,2021-02-06,Inactive,1985-10-04,M
128,2021-01-24,Paid Ads,Jan-21,CAMP_00001,North,Mobile,2021-01-31,Active,1987-07-11,M
129,2021-01-09,Paid Ads,Jan-21,CAMP_00001,North,Web,2021-01-12,Inactive,1975-09-21,M
130,2021-01-19,Influencer,Jan-21,CAMP_00004,Tier2,Mobile,2021-01-24,Inactive,1984-10-11,M
131,2021-01-08,Paid Ads,Jan-21,CAMP_00001,West,Web,2021-01-27,Inactive,1972-10-13,F
132,2021-01-01,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-14,Active,1993-06-25,Other
133,2021-01-25,Paid Ads,Jan-21,CAMP_00001,North,Web,2021-01-26,Inactive,1979-10-10,F
134,2021-01-25,Paid Ads,Jan-21,CAMP_00001,South,Web,2021-02-09,Inactive,1985-08-04,M
135,2021-01-07,Referral,Jan-21,CAMP_00003,West,Mobile,2021-01-13,Inactive,1979-12-11,M
136,2021-01-20,Influencer,Jan-21,CAMP_00004,North,Mobile,2021-01-24,Inactive,1988-03-16,F
137,2021-01-30,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-02-01,Inactive,1994-02-09,M
138,2021-01-29,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-01-31,Inactive,1985-08-06,F
139,2021-01-16,Influencer,Jan-21,CAMP_00004,North,Mobile,2021-01-24,Inactive,1986-05-12,M
140,2021-01-03,Organic,Jan-21,CAMP_00002,West,Mobile,2021-01-11,Inactive,1993-04-04,F
141,2021-01-28,Referral,Jan-21,CAMP_00003,South,Mobile,2021-01-29,Active,1992-07-05,F
142,2021-01-04,Organic,Jan-21,CAMP_00002,East,Mobile,2021-01-20,Inactive,1998-12-03,M
143,2021-01-11,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-20,Inactive,1983-09-07,M
144,2021-01-03,Referral,Jan-21,CAMP_00003,East,Mobile,2021-01-05,Inactive,1982-01-20,F
145,2021-01-28,Organic,Jan-21,CAMP_00002,South,Mobile,2021-02-03,Active,1985-08-17,F
146,2021-01-08,Organic,Jan-21,CAMP_00002,North,Web,2021-01-10,Inactive,1982-09-17,F
147,2021-01-28,Organic,Jan-21,CAMP_00002,West,Mobile,,Inactive,1982-09-26,M
148,2021-01-15,Organic,Jan-21,CAMP_00002,North,Mobile,2021-01-16,Inactive,1977-09-25,M
149,2021-01-07,Organic,Jan-21,CAMP_00002,Tier2,Mobile,2021-01-12,Inactive,1978-12-26,M
150,2021-01-03,Organic,Jan-21,CAMP_00002,Tier2,Web,2021-01-08,Inactive,1993-07-29,M
151,2021-01-09,Influencer,Jan-21,CAMP_00004,North,Web,2021-01-11,Inactive,1983-03-01,M
152,2021-01-27,Referral,Jan-21,CAMP_00003,South,Mobile,,Inactive,1985-10-30,F
153,2021-01-02,Influencer,Jan-21,CAMP_00004,South,Mobile,2021-01-03,Inactive,1982-06-30,F
154,2021-01-29,Paid Ads,Jan-21,CAMP_00001,South,Web,2021-02-07,Inactive,1978-01-24,F
155,2021-01-26,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-02-21,Inactive,1988-05-05,F
156,2021-01-02,Paid Ads,Jan-21,CAMP_00001,North,Mobile,2021-01-06,Inactive,1993-02-24,F
157,2021-01-29,Referral,Jan-21,CAMP_00003,Tier2,Mobile,2021-02-05,Active,1990-03-27,F
158,2021-01-22,Paid Ads,Jan-21,CAMP_00001,East,Web,2021-01-27,Inactive,1978-03-08,M
159,2021-01-01,Organic,Jan-21,CAMP_00002,North,Mobile,2021-01-07,Inactive,1981-08-14,Other
160,2021-01-11,Organic,Jan-21,CAMP_00002,Tier2,Web,2021-01-16,Inactive,1985-04-19,M
161,2021-01-19,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-21,Active,1983-11-13,M
162,2021-01-27,Organic,Jan-21,CAMP_00002,North,Mobile,2021-01-28,Inactive,1982-08-15,F
163,2021-01-22,Paid Ads,Jan-21,CAMP_00001,North,Mobile,,Inactive,1975-07-04,F
164,2021-01-21,Organic,Jan-21,CAMP_00002,Tier2,Mobile,,Inactive,1991-10-14,F
165,2021-01-10,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-25,Inactive,1985-12-24,F
166,2021-01-30,Influencer,Jan-21,CAMP_00004,North,Mobile,2021-02-07,Inactive,1985-11-27,M
167,2021-01-17,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-30,Inactive,1982-02-14,M
168,2021-01-15,Paid Ads,Jan-21,CAMP_00001,North,Mobile,,Inactive,1979-05-28,M
169,2021-01-25,Organic,Jan-21,CAMP_00002,South,Web,2021-02-05,Inactive,1991-09-29,F
170,2021-01-20,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-22,Inactive,1992-04-10,F
171,2021-01-02,Organic,Jan-21,CAMP_00002,South,Mobile,2021-01-18,Inactive,1990-03-07,Other
172,2021-01-03,Organic,Jan-21,CAMP_00002,South,Web,2021-01-20,Active,1998-02-16,M
173,2021-01-21,Influencer,Jan-21,CAMP_00004,North,Mobile,2021-01-29,Inactive,1978-02-20,F
174,2021-01-15,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-20,Inactive,1990-03-07,F
175,2021-01-21,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-28,Inactive,1971-04-24,M
176,2021-01-27,Paid Ads,Jan-21,CAMP_00001,Tier2,Mobile,2021-02-16,Inactive,1981-08-19,M
177,2021-01-04,Organic,Jan-21,CAMP_00002,South,Mobile,2021-01-06,Inactive,1974-11-09,M
178,2021-01-01,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-09,Active,1982-11-07,F
179,2021-01-08,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-10,Inactive,1975-08-30,M
180,2021-01-09,Paid Ads,Jan-21,CAMP_00001,Tier2,Mobile,2021-01-15,Inactive,1982-12-29,F
181,2021-01-02,Paid Ads,Jan-21,CAMP_00001,East,Web,2021-01-03,Inactive,1994-12-30,F
182,2021-01-30,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-02-26,Inactive,1979-10-14,M
183,2021-01-22,Paid Ads,Jan-21,CAMP_00001,Tier2,Web,2021-01-26,Inactive,1978-07-02,F
184,2021-01-14,Referral,Jan-21,CAMP_00003,South,Web,2021-01-22,Active,1995-01-14,F
185,2021-01-20,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-02-01,Inactive,1980-04-19,F
186,2021-01-01,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-01-09,Inactive,1987-10-09,F
187,2021-01-30,Paid Ads,Jan-21,CAMP_00001,Tier2,Mobile,2021-02-04,Inactive,1995-05-17,M
188,2021-01-19,Paid Ads,Jan-21,CAMP_00001,West,Web,,Inactive,1989-08-18,M
189,2021-01-20,Organic,Jan-21,CAMP_00002,North,Mobile,2021-01-22,Inactive,1991-10-11,F
190,2021-01-21,Paid Ads,Jan-21,CAMP_00001,North,Mobile,2021-01-28,Inactive,1988-06-07,F
191,2021-01-26,Referral,Jan-21,CAMP_00003,East,Mobile,2021-01-31,Inactive,1985-08-13,M
192,2021-01-03,Paid Ads,Jan-21,CAMP_00001,West,Web,,Inactive,1993-03-06,F
193,2021-01-27,Organic,Jan-21,CAMP_00002,East,Mobile,2021-01-28,Active,1979-10-13,F
194,2021-01-21,Referral,Jan-21,CAMP_00003,West,Web,2021-01-23,Inactive,1983-08-07,M
195,2021-01-20,Organic,Jan-21,CAMP_00002,North,Mobile,2021-01-29,Inactive,1992-03-23,Other
196,2021-01-23,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-01-28,Inactive,1980-01-23,M
197,2021-01-17,Organic,Jan-21,CAMP_00002,South,Web,2021-01-25,Inactive,1973-10-30,M
198,2021-01-22,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-24,Active,1974-02-12,F
199,2021-01-30,Organic,Jan-21,CAMP_00002,Tier2,Mobile,2021-02-12,Inactive,1978-01-29,F
200,2021-01-26,Influencer,Jan-21,CAMP_00004,East,Web,,Inactive,1966-05-29,M
201,2021-01-05,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-07,Inactive,1983-11-29,Other
202,2021-01-23,Referral,Jan-21,CAMP_00003,South,Web,2021-01-26,Inactive,1995-09-20,Other
203,2021-01-23,Influencer,Jan-21,CAMP_00004,Tier2,Mobile,2021-01-27,Inactive,1983-11-20,Other
204,2021-01-17,Referral,Jan-21,CAMP_00003,West,Mobile,2021-02-10,Inactive,1985-08-02,M
205,2021-01-02,Paid Ads,Jan-21,CAMP_00001,West,Mobile,,Inactive,1993-10-29,F
206,2021-01-16,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-17,Inactive,1992-12-04,M
207,2021-01-12,Paid Ads,Jan-21,CAMP_00001,North,Web,2021-01-21,Inactive,1975-08-02,M
208,2021-01-05,Organic,Jan-21,CAMP_00002,East,Mobile,2021-01-14,Active,1989-04-21,F
209,2021-01-19,Influencer,Jan-21,CAMP_00004,North,Web,2021-01-28,Inactive,1978-12-06,F
210,2021-01-31,Organic,Jan-21,CAMP_00002,Tier2,Web,2021-02-03,Inactive,1981-08-16,M
211,2021-01-24,Paid Ads,Jan-21,CAMP_00001,East,Web,2021-02-05,Inactive,1980-02-09,M
212,2021-01-20,Referral,Jan-21,CAMP_00003,East,Mobile,2021-01-24,Inactive,1979-12-05,F
213,2021-01-05,Organic,Jan-21,CAMP_00002,Tier2,Web,2021-01-11,Inactive,1995-09-18,F
214,2021-01-26,Paid Ads,Jan-21,CAMP_00001,North,Mobile,2021-01-30,Inactive,1986-09-11,M
215,2021-01-11,Organic,Jan-21,CAMP_00002,South,Mobile,2021-01-16,Inactive,1982-05-03,M
216,2021-01-16,Organic,Jan-21,CAMP_00002,Tier2,Mobile,2021-01-17,Inactive,1989-04-13,F
217,2021-01-19,Organic,Jan-21,CAMP_00002,West,Mobile,2021-01-28,Inactive,1976-08-28,M
218,2021-01-01,Paid Ads,Jan-21,CAMP_00001,North,Web,2021-01-06,Active,1975-03-18,M
219,2021-01-20,Paid Ads,Jan-21,CAMP_00001,North,Mobile,2021-01-28,Inactive,1993-05-29,F
220,2021-01-23,Paid Ads,Jan-21,CAMP_00001,South,Web,2021-01-24,Inactive,1993-07-11,M
221,2021-01-06,Organic,Jan-21,CAMP_00002,East,Mobile,2021-01-07,Inactive,1984-02-03,F
222,2021-01-08,Referral,Jan-21,CAMP_00003,West,Web,2021-01-16,Inactive,1982-08-23,F
223,2021-01-24,Paid Ads,Jan-21,CAMP_00001,West,Web,2021-02-08,Inactive,1989-04-30,F
224,2021-01-24,Referral,Jan-21,CAMP_00003,South,Web,,Inactive,1973-11-08,M
225,2021-01-15,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-21,Inactive,1990-01-04,M
226,2021-01-21,Organic,Jan-21,CAMP_00002,South,Web,2021-02-04,Inactive,1979-03-14,M
227,2021-01-25,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-02-15,Active,1982-10-24,M
228,2021-01-08,Influencer,Jan-21,CAMP_00004,West,Mobile,2021-01-13,Inactive,1982-04-19,M
229,2021-01-21,Referral,Jan-21,CAMP_00003,West,Mobile,2021-01-29,Inactive,2000-09-16,M
230,2021-01-09,Influencer,Jan-21,CAMP_00004,Tier2,Web,2021-01-31,Inactive,1981-06-18,F
231,2021-01-12,Paid Ads,Jan-21,CAMP_00001,North,Mobile,2021-01-14,Inactive,1980-12-19,F
232,2021-01-10,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-21,Inactive,1990-06-02,M
233,2021-01-25,Paid Ads,Jan-21,CAMP_00001,South,Web,2021-02-13,Inactive,1982-01-30,F
234,2021-01-04,Referral,Jan-21,CAMP_00003,South,Mobile,2021-01-18,Active,1973-08-19,F
235,2021-01-24,Influencer,Jan-21,CAMP_00004,North,Mobile,2021-01-27,Inactive,1992-03-31,M
236,2021-01-17,Paid Ads,Jan-21,CAMP_00001,Tier2,Web,2021-01-20,Inactive,1980-11-30,F
237,2021-01-31,Referral,Jan-21,CAMP_00003,South,Mobile,2021-02-08,Active,1981-07-07,F
238,2021-01-23,Paid Ads,Jan-21,CAMP_00001,Tier2,Web,2021-01-31,Inactive,1986-01-21,M
239,2021-01-16,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-18,Inactive,1984-02-03,M
240,2021-01-09,Paid Ads,Jan-21,CAMP_00001,Tier2,Mobile,2021-01-18,Inactive,1977-01-31,F
241,2021-01-29,Organic,Jan-21,CAMP_00002,East,Mobile,2021-02-10,Inactive,1989-10-29,M
242,2021-01-31,Paid Ads,Jan-21,CAMP_00001,South,Web,2021-02-10,Inactive,1991-05-12,M
243,2021-01-21,Organic,Jan-21,CAMP_00002,North,Mobile,2021-01-31,Inactive,1979-12-31,M
244,2021-01-06,Organic,Jan-21,CAMP_00002,East,Web,2021-01-08,Inactive,1981-04-09,M
245,2021-01-02,Influencer,Jan-21,CAMP_00004,South,Web,2021-01-17,Inactive,1980-03-26,M
246,2021-01-31,Paid Ads,Jan-21,CAMP_00001,North,Mobile,,Active,1974-08-10,M
247,2021-01-28,Organic,Jan-21,CAMP_00002,Tier2,Mobile,2021-02-01,Inactive,1974-01-05,F
248,2021-01-05,Paid Ads,Jan-21,CAMP_00001,Tier2,Mobile,2021-01-11,Inactive,1979-03-20,M
249,2021-01-12,Paid Ads,Jan-21,CAMP_00001,South,Mobile,2021-01-23,Inactive,1983-08-29,M
250,2021-01-28,Organic,Jan-21,CAMP_00002,West,Mobile,2021-02-06,Inactive,1997-05-20,M
251,2021-01-31,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-02-07,Inactive,1996-07-27,M
